Date,Open,High,Low,Close,Adj Close,Volume
2020-03-20,74.000000,79.599998,72.650002,77.300003,77.059830,86043342
2020-03-23,70.000000,72.000000,66.000000,66.199997,65.994316,34184325
2020-03-24,69.900002,71.500000,63.500000,68.550003,68.337021,49551990
2020-03-25,67.750000,71.699997,67.250000,70.250000,70.031731,57713806
2020-03-26,71.449997,73.500000,68.300003,70.800003,70.580025,63821068
2020-03-27,72.050003,75.900002,69.349998,70.699997,70.480331,58814757
2020-03-30,68.800003,70.000000,67.250000,68.150002,67.938255,35278010
2020-03-31,70.599998,71.500000,68.199997,71.050003,70.829247,46157286
2020-04-01,70.500000,71.650002,67.550003,67.949997,67.738876,38149007
2020-04-03,66.900002,66.900002,64.800003,65.300003,65.097115,35346301
2020-04-07,68.550003,69.300003,66.900002,67.250000,67.041054,42066469
2020-04-08,66.500000,71.599998,65.400002,67.599998,67.389961,82179303
2020-04-09,69.599998,76.250000,69.099998,74.599998,74.368217,112677273
2020-04-13,76.000000,77.599998,72.699997,74.250000,74.019302,70409900
2020-04-15,75.400002,78.699997,71.949997,72.900002,72.673500,81121081
2020-04-16,71.750000,75.400002,71.000000,74.650002,74.418060,47910164
2020-04-17,78.300003,78.300003,74.699997,76.849998,76.611221,58333485
2020-04-20,76.849998,83.400002,75.500000,80.449997,80.200035,125425355
2020-04-21,78.000000,78.000000,74.000000,74.650002,74.418060,58248325
2020-04-22,74.449997,76.550003,72.550003,75.900002,75.664177,56529293
2020-04-23,76.750000,78.650002,75.400002,75.650002,75.414955,50366856
2020-04-24,75.000000,76.900002,74.000000,74.199997,73.969460,40047438
2020-04-27,75.900002,76.199997,74.800003,75.250000,75.016197,27835340
2020-04-28,75.650002,78.199997,75.199997,76.949997,76.710915,34825405
2020-04-29,77.449997,79.300003,76.550003,78.150002,77.907188,40784783
2020-04-30,85.949997,93.750000,85.949997,93.250000,92.960274,170634033
2020-05-04,87.000000,87.199997,81.500000,83.900002,83.639320,91159477
2020-05-05,86.000000,86.800003,80.400002,80.900002,80.648643,57122148
2020-05-06,81.550003,83.949997,80.349998,83.199997,82.941490,53739248
2020-05-07,82.900002,84.650002,82.099998,82.500000,82.243675,31159970
2020-05-08,84.500000,84.949997,80.550003,81.050003,80.798180,35362751
2020-05-11,81.449997,90.650002,81.400002,86.099998,85.832481,152588401
2020-05-12,85.949997,87.699997,83.500000,86.199997,85.932175,77551590
2020-05-13,92.500000,92.500000,86.250000,87.199997,86.929062,68086031
2020-05-14,83.949997,85.300003,82.550003,83.800003,83.539635,46340453
2020-05-15,84.699997,85.349998,82.800003,84.349998,84.087921,38592209
2020-05-18,84.500000,84.500000,79.599998,80.650002,80.399422,44221170
2020-05-19,82.500000,85.650002,81.500000,81.800003,81.545853,65378983
2020-05-20,81.250000,84.400002,80.699997,83.449997,83.190720,36351053
